Overall Qual,Exter Qual,Kitchen Qual,Bsmt Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Garage Cars,Garage Area,Fireplaces,Central Air,BsmtFin SF 1,Wood Deck SF,Open Porch SF,Mas Vnr Area,SalePrice
7,Gd,Gd,Gd,1630,868.0,868,7984,62.0,Gilbert,RL,1Fam,2Story,2004,2005,2,7,2.0,436.0,1,Y,0.0,120,48,200.0,189500
8,Gd,Gd,Gd,1419,408.0,779,7750,,Gilbert,RL,1Fam,SLvl,2002,2002,2,7,2.0,527.0,1,Y,353.0,120,0,0.0,184100
7,Gd,Gd,Gd,1594,846.0,846,10125,61.0,Gilbert,RL,1Fam,2Story,2004,2004,2,7,2.0,434.0,1,Y,0.0,300,48,0.0,195500
7,Gd,Gd,Gd,1489,782.0,806,8965,,Gilbert,RL,1Fam,2Story,2003,2003,2,8,2.0,400.0,1,Y,652.0,0,75,0.0,192000
7,Gd,Gd,Gd,1342,698.0,698,8174,,Gilbert,RL,1Fam,2Story,2003,2003,2,7,2.0,393.0,1,Y,494.0,100,56,0.0,178000
7,Gd,Gd,Gd,1314,1314.0,1314,5063,34.0,NridgHt,RL,Twnhs,1Story,2007,2008,2,6,2.0,626.0,1,Y,904.0,172,62,166.0,207500
7,Gd,Gd,Gd,2256,952.0,980,8795,,Gilbert,RL,1Fam,2Story,2000,2000,2,8,2.0,554.0,1,Y,300.0,224,54,0.0,236000
8,Gd,Gd,Ex,2004,870.0,878,12891,,Gilbert,RL,1Fam,2Story,2002,2002,2,8,3.0,644.0,1,Y,651.0,0,48,,257500
6,Gd,Gd,Gd,2054,992.0,1022,12224,,Gilbert,RL,1Fam,2Story,2000,2000,2,7,2.0,390.0,1,Y,695.0,24,48,40.0,244000
7,Gd,Gd,Gd,1374,384.0,744,9734,61.0,Gilbert,RL,1Fam,SLvl,2004,2004,2,7,2.0,400.0,0,Y,241.0,0,0,0.0,167000
6,TA,TA,Gd,1800,982.0,1007,8123,60.0,Gilbert,RL,1Fam,2Story,2000,2000,2,7,2.0,463.0,1,Y,0.0,100,63,16.0,179000
6,TA,TA,Gd,1514,794.0,819,8433,42.0,Gilbert,RL,1Fam,2Story,2000,2000,2,7,2.0,394.0,1,Y,683.0,0,72,0.0,190000
7,TA,TA,Gd,1430,384.0,774,7750,62.0,Gilbert,RL,1Fam,SLvl,1999,2000,2,7,2.0,400.0,1,Y,0.0,0,0,0.0,156000
7,Gd,Gd,Gd,2312,1177.0,1223,15896,,Gilbert,RL,1Fam,2Story,1999,1999,2,8,3.0,658.0,1,Y,913.0,298,0,210.0,245000
6,TA,TA,Gd,1675,841.0,892,24682,,Gilbert,RL,1Fam,2Story,1999,1999,2,7,2.0,502.0,1,Y,0.0,0,103,0.0,181000
7,Gd,Gd,Gd,2060,992.0,1022,8755,,Gilbert,RL,1Fam,2Story,1999,1999,2,8,2.0,390.0,1,Y,772.0,0,0,298.0,214000
7,TA,TA,TA,1430,384.0,774,7848,64.0,Gilbert,RL,1Fam,SLvl,1999,1999,2,7,2.0,410.0,1,Y,0.0,0,0,0.0,168000
8,Gd,Gd,Gd,2365,1252.0,1268,9430,82.0,NoRidge,RL,1Fam,2Story,1999,1999,2,8,3.0,856.0,1,Y,1163.0,0,128,673.0,337000
8,Gd,Ex,Gd,2794,1462.0,1490,15138,174.0,NoRidge,RL,1Fam,2Story,1995,1996,2,9,3.0,810.0,1,Y,689.0,0,146,506.0,403000
8,Gd,Gd,Gd,2687,1455.0,1466,12720,106.0,NoRidge,RL,1Fam,2Story,2000,2000,2,10,3.0,810.0,2,Y,1173.0,252,30,150.0,327000
8,Gd,Gd,Gd,2450,1284.0,1310,16545,,NoRidge,RL,1Fam,2Story,1998,1998,2,7,3.0,1069.0,1,Y,781.0,0,126,731.0,340000
8,Gd,Gd,Gd,2612,1225.0,1276,12203,98.0,NoRidge,RL,1Fam,2Story,1998,1999,2,8,3.0,676.0,1,Y,854.0,250,0,975.0,336000
7,Gd,Gd,Gd,2344,1264.0,1277,10208,79.0,NoRidge,RL,1Fam,2Story,1996,1997,2,7,3.0,889.0,1,Y,0.0,220,0,921.0,265000
8,Gd,Gd,Gd,2063,2024.0,2063,10750,,NoRidge,RL,1Fam,1Story,1994,1995,2,7,3.0,815.0,2,Y,236.0,182,56,634.0,315000
7,Gd,Gd,Gd,2646,1347.0,1372,9900,90.0,NoRidge,RL,1Fam,2Story,1993,1993,2,9,3.0,656.0,1,Y,987.0,340,60,256.0,260000
7,Gd,Gd,Gd,2061,1070.0,1094,9085,79.0,NoRidge,RL,1Fam,2Story,1995,1996,2,7,2.0,647.0,1,Y,816.0,296,102,286.0,260000
8,Gd,Gd,Gd,2232,1173.0,1215,11692,,NoRidge,RL,1Fam,2Story,1993,1994,2,8,2.0,623.0,1,Y,624.0,173,165,372.0,263550
8,Gd,Gd,Gd,2448,1629.0,1686,46589,52.0,NoRidge,RL,1Fam,2Story,1994,2005,2,8,3.0,711.0,1,Y,1361.0,517,76,528.0,402000
7,Gd,Gd,Gd,1850,973.0,979,29959,,NoRidge,RL,1Fam,2Story,1994,1994,2,7,2.0,467.0,1,Y,595.0,168,98,0.0,248000
8,Gd,Gd,Gd,1468,1468.0,1468,9612,74.0,Somerst,RL,1Fam,1Story,2008,2009,2,6,3.0,898.0,1,Y,0.0,210,150,72.0,244600
8,Gd,Gd,Gd,1696,1696.0,1696,11194,86.0,Somerst,RL,1Fam,1Story,2008,2008,2,7,3.0,972.0,0,Y,0.0,120,56,240.0,275000
8,Gd,Gd,Gd,1658,1614.0,1658,10206,78.0,Somerst,RL,1Fam,1Story,2008,2008,2,7,3.0,726.0,1,Y,0.0,144,44,294.0,257500
8,Gd,Ex,Gd,1578,1573.0,1578,9262,78.0,Somerst,RL,1Fam,1Story,2008,2009,2,7,3.0,840.0,1,Y,0.0,0,36,194.0,287090
8,Gd,Gd,Gd,1702,1702.0,1702,10130,85.0,Somerst,RL,1Fam,1Story,2007,2007,2,7,3.0,844.0,1,Y,1294.0,0,69,260.0,275500
8,Gd,Gd,Ex,1432,1422.0,1432,9139,76.0,Somerst,RL,1Fam,1Story,2006,2006,2,7,2.0,492.0,1,Y,379.0,297,50,206.0,245000
7,Gd,Gd,Gd,1971,1113.0,1113,9675,75.0,Somerst,RL,1Fam,2Story,2005,2005,2,8,2.0,689.0,1,Y,341.0,0,48,0.0,253000
9,Ex,Ex,Ex,2490,2458.0,2490,11128,85.0,Somerst,RL,1Fam,1Story,2005,2006,2,9,3.0,795.0,2,Y,2158.0,70,226,198.0,468000
7,TA,Gd,Gd,1852,900.0,932,8640,72.0,Somerst,FV,1Fam,2Story,2009,2009,2,7,2.0,644.0,1,Y,822.0,168,108,0.0,252678
8,Gd,Gd,Gd,1590,768.0,786,9000,75.0,Somerst,FV,1Fam,2Story,2008,2008,2,6,2.0,676.0,0,Y,0.0,0,30,0.0,210000
6,Gd,Gd,Gd,1218,1218.0,1218,7862,75.0,Somerst,FV,1Fam,1Story,2009,2009,2,4,2.0,676.0,0,Y,27.0,0,102,0.0,208300
7,Gd,Gd,Ex,1436,1436.0,1436,7993,90.0,Somerst,FV,1Fam,1Story,2008,2009,2,6,2.0,529.0,0,Y,0.0,0,121,,225000
8,Gd,Gd,Gd,1314,1300.0,1314,8640,72.0,Somerst,FV,1Fam,1Story,2009,2009,2,6,2.0,552.0,0,Y,936.0,135,112,72.0,229456
7,Gd,Gd,Gd,1402,1402.0,1402,8640,72.0,Somerst,FV,1Fam,1Story,2008,2008,2,7,2.0,625.0,0,Y,0.0,205,126,0.0,229800
9,Gd,Gd,Gd,1530,1530.0,1530,12606,112.0,Somerst,FV,1Fam,1Story,2007,2008,2,7,3.0,984.0,1,Y,0.0,212,136,120.0,250000
9,Ex,Ex,Ex,1766,1766.0,1766,9187,85.0,Somerst,FV,1Fam,1Story,2009,2009,2,7,3.0,478.0,1,Y,1121.0,195,130,162.0,370878
8,Gd,Gd,Gd,1448,1372.0,1448,7500,75.0,Somerst,FV,1Fam,1Story,2006,2007,2,6,2.0,692.0,1,Y,24.0,0,140,238.0,238500
10,Ex,Ex,Ex,2007,1017.0,1026,11003,85.0,Somerst,FV,1Fam,2Story,2008,2008,2,10,3.0,812.0,1,Y,765.0,168,52,160.0,310000
8,Gd,Gd,Ex,1795,900.0,909,10603,84.0,Somerst,FV,1Fam,2Story,2006,2006,2,8,3.0,782.0,1,Y,682.0,168,45,121.0,270000
8,Gd,Gd,Gd,1953,1082.0,1082,10574,85.0,Somerst,FV,1Fam,2Story,2005,2006,2,9,3.0,1043.0,1,Y,0.0,160,50,0.0,252000
7,Gd,Gd,Gd,1550,1092.0,1112,8125,65.0,Somerst,FV,1Fam,2Story,2006,2007,2,7,2.0,438.0,0,Y,812.0,0,168,100.0,241000
8,Gd,Gd,Gd,1836,1836.0,1836,8125,65.0,Somerst,FV,1Fam,1Story,2008,2009,2,8,2.0,517.0,1,Y,0.0,0,175,288.0,264500
7,Gd,Ex,Gd,1662,1652.0,1662,10625,85.0,Somerst,FV,1Fam,1Story,2006,2007,2,8,3.0,711.0,1,Y,1430.0,168,120,0.0,291000
7,Gd,Gd,Gd,2094,912.0,912,9375,75.0,Somerst,FV,1Fam,2Story,2003,2004,2,8,2.0,615.0,1,Y,0.0,182,182,0.0,263000
7,Gd,Gd,Gd,1221,1221.0,1221,7500,62.0,Somerst,FV,1Fam,1Story,2004,2005,2,6,2.0,400.0,0,Y,410.0,0,113,0.0,185000
7,Gd,Gd,Gd,1553,1553.0,1553,8736,68.0,Somerst,FV,1Fam,1Story,2003,2004,2,6,2.0,588.0,0,Y,771.0,192,88,0.0,234500
7,Gd,Gd,Gd,1653,812.0,812,8127,65.0,Somerst,FV,1Fam,2Story,2003,2003,2,6,2.0,628.0,0,Y,410.0,0,45,0.0,209000
7,Gd,Gd,Gd,1218,1218.0,1218,9605,80.0,SawyerW,RL,1Fam,1Story,2007,2007,1,6,2.0,576.0,0,Y,0.0,0,178,0.0,159000
7,Gd,Gd,Gd,1141,1141.0,1141,7500,63.0,SawyerW,RL,1Fam,1Story,2006,2006,1,6,2.0,484.0,0,Y,54.0,182,0,0.0,152000
6,TA,Gd,Gd,1158,1158.0,1158,7500,63.0,SawyerW,RL,1Fam,1Story,2004,2004,1,5,0.0,0.0,0,Y,0.0,0,50,0.0,143500
7,Gd,Gd,Gd,1812,835.0,871,10628,96.0,SawyerW,RL,1Fam,2Story,2004,2004,2,8,2.0,478.0,0,Y,0.0,146,91,0.0,193000
8,Gd,Gd,Gd,1512,1512.0,1512,10141,76.0,SawyerW,RL,1Fam,1Story,2004,2004,2,6,3.0,845.0,0,Y,516.0,210,36,264.0,203000
7,Gd,Gd,Gd,1200,1176.0,1200,10083,67.0,SawyerW,RL,1Fam,1Story,2003,2003,2,5,2.0,555.0,0,Y,833.0,0,41,,184900
7,Gd,Gd,Gd,1114,1114.0,1114,13072,63.0,SawyerW,RL,1Fam,1Story,2004,2005,1,6,2.0,576.0,0,Y,0.0,248,102,0.0,159000
5,TA,Gd,Gd,1114,1114.0,1114,13072,63.0,SawyerW,RL,1Fam,1Story,2004,2004,1,6,0.0,0.0,0,Y,0.0,0,39,0.0,142000
5,TA,Gd,Gd,1114,1114.0,1114,12450,60.0,SawyerW,RL,1Fam,1Story,2003,2004,2,6,2.0,576.0,0,Y,836.0,0,42,0.0,153000
7,Gd,Gd,Gd,1450,1450.0,1450,7328,61.0,SawyerW,RL,1Fam,1Story,2008,2009,2,6,3.0,788.0,0,Y,0.0,0,93,140.0,224243
7,Gd,Gd,Gd,2122,913.0,913,11492,43.0,SawyerW,RL,1Fam,2Story,1996,1997,2,8,2.0,559.0,1,Y,637.0,0,74,132.0,220000
8,Gd,Gd,Gd,1844,1844.0,1844,10994,88.0,SawyerW,RL,1Fam,1Story,2005,2006,2,7,2.0,620.0,1,Y,976.0,165,44,366.0,257000
7,Gd,Gd,Gd,1434,1454.0,1434,8529,65.0,SawyerW,RL,1Fam,1Story,2001,2001,2,6,2.0,527.0,1,Y,20.0,290,39,0.0,189000
6,Gd,Gd,Gd,1730,816.0,833,7703,70.0,SawyerW,RL,1Fam,2Story,1992,1992,2,6,2.0,528.0,0,Y,52.0,0,91,0.0,171500
6,TA,TA,Gd,1217,626.0,626,10762,75.0,SawyerW,RL,TwnhsE,2Story,1980,1980,1,6,1.0,288.0,1,Y,0.0,0,28,0.0,120000
6,Gd,Gd,Gd,1332,1332.0,1332,7175,50.0,SawyerW,RL,TwnhsE,1Story,1990,1991,2,5,2.0,542.0,0,Y,0.0,0,60,0.0,145000
7,Gd,Gd,Gd,1540,754.0,754,9109,70.0,SawyerW,RL,1Fam,2Story,1994,1994,2,6,2.0,495.0,0,Y,36.0,140,32,0.0,184000
6,TA,TA,Gd,1400,676.0,698,10274,,SawyerW,RL,1Fam,2Story,1986,1986,2,6,2.0,465.0,0,Y,331.0,0,48,141.0,162000
6,TA,TA,,1882,0.0,964,8250,75.0,SawyerW,RL,Duplex,2Story,1981,1981,2,8,2.0,612.0,2,Y,0.0,0,0,0.0,160000
4,Fa,TA,TA,841,721.0,841,8400,60.0,SawyerW,RH,1Fam,1Story,1950,1950,1,4,1.0,294.0,0,Y,0.0,250,0,0.0,82000
6,TA,TA,Fa,784,784.0,784,9000,60.0,SawyerW,RH,1Fam,1.5Unf,1928,1950,1,5,2.0,360.0,0,N,0.0,0,0,0.0,76000
5,TA,TA,TA,980,980.0,980,9750,63.0,Sawyer,RL,1Fam,1Story,1962,1962,1,5,2.0,400.0,0,Y,68.0,0,28,0.0,110000
5,TA,TA,TA,980,980.0,980,7064,71.0,Sawyer,RL,1Fam,1Story,1977,1977,1,6,2.0,484.0,0,Y,560.0,192,0,153.0,135000
5,TA,TA,TA,864,864.0,864,8499,,Sawyer,RL,1Fam,1Story,1961,1961,1,5,2.0,732.0,0,Y,660.0,0,312,0.0,141000
5,TA,TA,TA,864,864.0,864,9079,,Sawyer,RL,1Fam,1Story,1961,1961,1,5,1.0,440.0,0,Y,864.0,158,0,0.0,122000
5,TA,TA,TA,1020,1024.0,1020,9316,,Sawyer,RL,1Fam,1Story,1965,1965,2,5,1.0,288.0,0,Y,544.0,171,0,0.0,124100
5,Gd,Gd,TA,912,912.0,912,7791,,Sawyer,RL,1Fam,1Story,1963,1995,1,6,1.0,300.0,0,Y,624.0,0,0,0.0,129000
5,TA,TA,TA,1144,864.0,1144,10000,80.0,Sawyer,RL,1Fam,1Story,1961,1983,1,6,1.0,264.0,1,Y,594.0,165,0,0.0,131400
5,TA,TA,TA,864,864.0,864,8281,60.0,Sawyer,RL,1Fam,1Story,1965,1965,1,5,1.0,360.0,1,Y,553.0,0,0,0.0,62383
5,TA,TA,TA,912,912.0,912,7150,65.0,Sawyer,RL,1Fam,1Story,1962,1962,1,6,1.0,252.0,0,Y,140.0,0,0,60.0,123000
8,Gd,Gd,Gd,2014,2014.0,2014,15676,,Veenker,RL,1Fam,1Story,1980,1980,2,6,3.0,864.0,2,Y,1733.0,462,0,115.0,275000
7,Gd,Gd,Gd,1755,975.0,975,11949,,NoRidge,RL,1Fam,2Story,1991,2008,2,7,2.0,524.0,1,Y,601.0,502,60,196.0,235000
7,Gd,Gd,Gd,3005,1376.0,1376,2880,32.0,Somerst,FV,Twnhs,2Story,2004,2005,2,9,3.0,704.0,1,Y,0.0,0,177,0.0,280750
6,Gd,Gd,Gd,1224,612.0,612,3951,40.0,Somerst,FV,TwnhsE,2Story,2009,2009,2,4,2.0,528.0,0,Y,0.0,0,234,76.0,164500
6,Gd,Gd,Gd,1224,612.0,612,3000,30.0,Somerst,FV,TwnhsE,2Story,2009,2009,2,4,2.0,528.0,0,Y,294.0,0,234,76.0,173733
6,Gd,Gd,Gd,1726,1726.0,1726,3830,,Somerst,FV,TwnhsE,1Story,2008,2008,2,6,2.0,561.0,1,Y,0.0,0,254,280.0,222000
6,Gd,Gd,Gd,1256,1145.0,1256,4217,,Somerst,FV,TwnhsE,1Story,2008,2008,1,5,2.0,641.0,1,Y,962.0,0,169,252.0,195000
6,TA,TA,Gd,1471,729.0,742,3230,34.0,Somerst,FV,TwnhsE,2Story,1999,1999,2,6,2.0,440.0,0,Y,381.0,0,24,894.0,172500
6,Gd,Gd,Gd,1512,756.0,756,2998,34.0,Somerst,FV,TwnhsE,2Story,2000,2000,2,4,2.0,440.0,0,Y,507.0,0,32,513.0,180000
7,Gd,Gd,Gd,1452,691.0,713,3768,35.0,Somerst,FV,TwnhsE,2Story,1999,1999,2,6,2.0,506.0,0,Y,549.0,0,34,218.0,156000
8,Gd,Gd,Gd,1739,970.0,983,2645,24.0,Somerst,FV,Twnhs,2Story,1999,2000,2,7,2.0,480.0,0,Y,649.0,115,0,456.0,172500
8,Ex,Ex,Gd,1694,1694.0,1694,14694,,Veenker,RL,1Fam,1Story,1977,2008,2,5,2.0,642.0,1,Y,1252.0,501,120,450.0,318750
8,Gd,Gd,Gd,1226,1226.0,1226,3782,61.0,Greens,RL,TwnhsE,1Story,1981,1981,1,4,2.0,484.0,2,Y,960.0,133,78,0.0,211500
7,Gd,Gd,Gd,1740,1740.0,1740,15417,110.0,Veenker,RL,1Fam,1Story,1981,1981,1,7,2.0,540.0,0,Y,121.0,228,20,0.0,241600
8,Gd,TA,TA,2499,392.0,1487,9600,80.0,Veenker,RL,1Fam,SLvl,1976,1976,2,5,2.0,527.0,1,Y,0.0,0,64,200.0,180500
4,TA,TA,TA,1620,1281.0,1620,9991,,Sawyer,RL,1Fam,1Story,1976,1993,2,8,2.0,490.0,1,Y,1116.0,120,78,0.0,150000
6,TA,TA,TA,1556,727.0,829,11700,78.0,NWAmes,RL,1Fam,2Story,1968,1968,1,8,2.0,441.0,0,Y,298.0,0,0,0.0,154000
6,TA,TA,TA,1442,1442.0,1442,11717,,NWAmes,RL,1Fam,1Story,1970,1970,2,6,2.0,615.0,1,Y,0.0,371,0,571.0,185000
6,TA,Gd,TA,1489,1489.0,1489,9156,,NWAmes,RL,1Fam,1Story,1968,1968,2,7,2.0,462.0,1,Y,0.0,0,0,0.0,185750
7,TA,TA,Gd,2090,1107.0,1107,10382,,NWAmes,RL,1Fam,2Story,1973,1973,2,7,2.0,484.0,2,Y,859.0,235,204,240.0,200000
7,TA,Gd,TA,2067,752.0,1285,12732,,NWAmes,RL,1Fam,2Story,1974,1974,2,7,2.0,784.0,2,Y,560.0,297,40,0.0,206000
6,TA,TA,TA,1395,723.0,735,12936,,NWAmes,RL,1Fam,2Story,1972,1972,1,6,2.0,497.0,1,Y,593.0,294,116,0.0,162000
6,TA,Gd,TA,2640,932.0,1271,10400,80.0,NWAmes,RL,1Fam,2Story,1967,1997,2,8,2.0,515.0,1,Y,0.0,0,120,256.0,256900
6,TA,TA,Gd,1724,1680.0,1724,17871,,NWAmes,RL,1Fam,SLvl,1967,1976,1,7,2.0,480.0,1,Y,528.0,0,0,359.0,197900
5,TA,TA,Gd,1336,1288.0,1336,9600,80.0,NWAmes,RL,1Fam,1Story,1969,1969,2,6,2.0,502.0,1,Y,553.0,312,11,128.0,163000
6,TA,TA,TA,1216,1216.0,1216,9000,75.0,NWAmes,RL,1Fam,1Story,1969,1969,1,5,1.0,336.0,0,Y,955.0,0,0,200.0,113000
7,TA,Gd,Gd,2288,908.0,1316,13774,,NWAmes,RL,1Fam,2Story,1977,1992,1,8,2.0,520.0,2,Y,432.0,321,72,283.0,230000
6,TA,TA,Gd,1334,1350.0,1334,9650,80.0,NWAmes,RL,1Fam,1Story,1977,1977,2,6,2.0,630.0,1,Y,686.0,0,16,360.0,167900
7,Gd,Gd,Ex,1680,1650.0,1680,10140,78.0,NWAmes,RL,1Fam,1Story,1998,1999,2,7,2.0,583.0,1,Y,144.0,78,73,0.0,213250
8,Gd,Gd,Gd,1665,810.0,810,8400,70.0,NWAmes,RL,1Fam,2Story,2001,2001,2,6,2.0,528.0,0,Y,643.0,0,45,0.0,227000
5,TA,TA,TA,864,864.0,864,7130,62.0,NAmes,RL,1Fam,1Story,1967,1967,1,5,1.0,312.0,0,Y,648.0,0,0,0.0,130000
5,TA,TA,TA,1568,1568.0,1568,9600,80.0,NAmes,RL,1Fam,1Story,1967,1967,1,7,2.0,440.0,0,Y,0.0,160,40,0.0,143000
5,TA,TA,TA,925,925.0,925,9100,70.0,NAmes,RL,1Fam,1Story,1965,1965,1,5,1.0,429.0,0,Y,338.0,0,0,0.0,117500
7,TA,TA,TA,2061,1165.0,1165,9600,80.0,NWAmes,RL,1Fam,2Story,1974,1974,2,8,2.0,498.0,1,Y,698.0,0,77,252.0,168500
6,TA,TA,Gd,1320,1232.0,1320,16500,,NWAmes,RL,1Fam,SFoyer,1971,1971,2,5,2.0,495.0,1,Y,962.0,0,20,509.0,172500
6,TA,TA,TA,1342,1372.0,1342,9790,,NWAmes,RL,1Fam,1Story,1967,1967,2,7,2.0,457.0,1,Y,251.0,0,0,0.0,161500
4,TA,TA,TA,894,894.0,894,7436,60.0,NAmes,RL,1Fam,1Story,1960,1960,1,5,2.0,396.0,1,Y,734.0,0,0,0.0,141500
5,TA,TA,TA,864,864.0,864,8125,65.0,NAmes,RL,1Fam,1Story,1959,1959,1,5,1.0,308.0,0,Y,403.0,0,0,0.0,118000
6,TA,TA,TA,864,864.0,864,9100,70.0,NAmes,RL,1Fam,1Story,1959,1959,1,5,1.0,300.0,0,Y,612.0,0,0,0.0,127500
4,TA,TA,TA,1362,1040.0,1362,9450,,NAmes,RL,1Fam,1Story,1957,1957,1,6,3.0,768.0,1,Y,775.0,0,0,160.0,140000
5,TA,TA,TA,1728,1048.0,1728,13495,,NAmes,RL,1Fam,1Story,1956,1956,2,7,2.0,576.0,1,Y,625.0,0,99,70.0,177625
5,TA,TA,TA,1776,1584.0,1776,11475,85.0,NAmes,RL,Duplex,1Story,1958,1958,2,9,3.0,888.0,0,Y,0.0,0,25,95.0,110000
6,TA,TA,TA,1516,1516.0,1516,10004,100.0,NAmes,RL,1Fam,1Story,1964,1964,1,6,2.0,472.0,0,Y,196.0,0,0,180.0,167000
5,TA,Gd,TA,1313,1313.0,1313,9350,85.0,NAmes,RL,1Fam,1Story,1961,1995,1,6,2.0,610.0,1,Y,310.0,172,28,217.0,153000
5,TA,TA,TA,1292,1292.0,1292,10500,115.0,NAmes,RL,1Fam,1Story,1964,1964,1,6,2.0,520.0,2,Y,998.0,0,32,144.0,145100
5,TA,TA,TA,1154,1154.0,1154,11000,,NAmes,RL,1Fam,1Story,1966,1966,1,6,2.0,480.0,1,Y,740.0,0,58,200.0,154000
5,TA,TA,TA,2140,744.0,825,8970,,NAmes,RL,1Fam,2Story,1965,1965,2,7,2.0,549.0,1,Y,388.0,0,40,0.0,177500
6,TA,TA,TA,1445,1127.0,1445,12095,,NAmes,RL,1Fam,SLvl,1964,1964,1,7,2.0,645.0,1,Y,564.0,180,0,115.0,158000
5,TA,TA,TA,1041,1041.0,1041,9600,80.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,1.0,270.0,0,Y,991.0,224,88,132.0,124500
6,TA,Gd,TA,1576,1208.0,1576,11475,85.0,NAmes,RL,1Fam,SLvl,1961,1961,1,7,2.0,368.0,1,Y,568.0,85,0,90.0,174500
5,TA,TA,TA,960,960.0,960,9768,68.0,NAmes,RL,1Fam,1Story,1955,1955,1,5,1.0,330.0,0,Y,100.0,0,70,0.0,122000
4,Fa,Fa,TA,708,420.0,708,5330,50.0,BrkSide,RL,1Fam,1Story,1940,1950,1,5,0.0,0.0,0,Y,280.0,164,0,0.0,82500
5,TA,Gd,TA,1203,709.0,979,7015,,BrkSide,RL,1Fam,1.5Fin,1950,1950,1,5,1.0,352.0,1,Y,185.0,0,0,161.0,110000
6,TA,TA,TA,1505,1505.0,1505,12160,128.0,NAmes,RL,1Fam,1Story,1953,1953,1,6,2.0,505.0,1,Y,1024.0,0,0,90.0,149500
6,Gd,TA,TA,1691,1680.0,1691,9900,90.0,NAmes,RL,1Fam,1Story,1967,1967,1,5,2.0,550.0,0,Y,1173.0,0,67,0.0,175000
6,TA,TA,TA,1644,1416.0,1644,9600,80.0,NAmes,RL,1Fam,1Story,1953,1953,1,7,2.0,418.0,2,Y,1285.0,110,0,238.0,167000
5,TA,TA,TA,1050,1050.0,1050,9600,80.0,NAmes,RL,1Fam,1Story,1956,1956,1,5,1.0,338.0,0,Y,504.0,0,0,0.0,128900
6,TA,TA,TA,1668,856.0,1112,9600,80.0,NAmes,RL,1Fam,1.5Fin,1950,2005,1,6,1.0,271.0,0,Y,120.0,0,0,0.0,140000
5,Gd,Gd,TA,1113,1113.0,1113,9600,80.0,NAmes,RL,1Fam,1Story,1950,2007,1,5,1.0,264.0,1,Y,607.0,0,80,0.0,147000
5,TA,TA,TA,1584,1584.0,1584,8944,65.0,NAmes,RL,Duplex,1Story,1967,1967,2,8,3.0,792.0,0,Y,0.0,0,152,0.0,124000
6,TA,TA,TA,1453,1453.0,1453,10573,92.0,NAmes,RL,1Fam,1Story,1961,1961,2,6,2.0,530.0,1,Y,1312.0,0,49,3.0,187500
6,TA,TA,Gd,1394,1394.0,1394,9500,,NAmes,RL,1Fam,1Story,1963,1963,1,6,2.0,514.0,2,Y,609.0,0,76,247.0,159000
6,TA,Gd,TA,1567,1562.0,1567,14695,80.0,NAmes,RL,1Fam,1Story,1966,2008,2,5,2.0,542.0,2,Y,1387.0,0,110,210.0,256000
7,TA,TA,TA,1986,768.0,1186,13600,85.0,NAmes,RL,1Fam,2Story,1965,1990,2,7,2.0,486.0,3,Y,454.0,0,42,176.0,205000
6,TA,Gd,Gd,2142,896.0,1182,13000,100.0,NAmes,RL,1Fam,2Story,1968,1968,2,8,1.0,509.0,1,Y,448.0,0,72,576.0,193500
6,TA,TA,Fa,1392,1392.0,1392,13560,120.0,NAmes,RL,1Fam,1Story,1968,1968,1,5,2.0,576.0,2,Y,0.0,0,0,216.0,110000
4,TA,TA,TA,1738,715.0,1281,12513,,NAmes,RL,1Fam,1.5Fin,1920,2007,2,7,1.0,368.0,1,Y,0.0,55,0,0.0,104900
5,Gd,TA,TA,1144,1169.0,1144,8760,73.0,NAmes,RL,1Fam,1Story,1956,1956,1,6,1.0,286.0,0,Y,856.0,257,0,164.0,150000
6,TA,TA,TA,1478,1478.0,1478,8400,70.0,NAmes,RL,1Fam,1Story,1957,1957,1,6,2.0,442.0,2,Y,189.0,114,0,0.0,156500
7,TA,TA,TA,1329,1329.0,1329,12285,,NAmes,RL,1Fam,1Story,1960,1960,1,5,2.0,441.0,2,Y,544.0,0,0,128.0,176000
6,Gd,Gd,TA,988,988.0,988,9240,66.0,NAmes,RL,1Fam,1Story,1959,1998,2,6,1.0,297.0,0,Y,708.0,156,0,0.0,149500
6,TA,TA,TA,1632,1240.0,1632,9600,80.0,NAmes,RL,1Fam,1Story,1958,1988,2,6,1.0,338.0,1,Y,620.0,289,0,183.0,139000
6,TA,TA,TA,1215,1215.0,1215,12400,66.0,NAmes,RL,1Fam,1Story,1958,1998,1,6,1.0,297.0,0,Y,585.0,0,0,176.0,155000
5,TA,TA,TA,1202,1202.0,1202,8750,70.0,NAmes,RL,1Fam,1Story,1956,1956,1,6,1.0,304.0,0,Y,435.0,0,35,0.0,120000
5,TA,Gd,TA,1382,1382.0,1382,8750,70.0,NAmes,RL,1Fam,1Story,1955,1955,1,6,1.0,350.0,0,Y,172.0,280,0,0.0,153000
4,TA,TA,TA,1200,1200.0,1200,10400,80.0,NAmes,RL,1Fam,1Story,1956,1956,1,6,1.0,294.0,2,Y,155.0,0,189,0.0,144000
